Grupos de edad;Sexo;periodo;Total
entre los 20 y 24 años;Ambos sexos;2029;58,91
entre los 20 y 24 años;Ambos sexos;2028;58,91
entre los 20 y 24 años;Ambos sexos;2027;58,91
entre los 20 y 24 años;Ambos sexos;2026;58,90
entre los 20 y 24 años;Ambos sexos;2025;58,91
entre los 20 y 24 años;Ambos sexos;2024;58,91
entre los 20 y 24 años;Ambos sexos;2023;58,72
entre los 20 y 24 años;Ambos sexos;2022;58,42
entre los 20 y 24 años;Ambos sexos;2021;58,14
entre los 20 y 24 años;Ambos sexos;2020;57,78
entre los 20 y 24 años;Ambos sexos;2019;57,48
entre los 20 y 24 años;Ambos sexos;2018;57,18
entre los 20 y 24 años;Ambos sexos;2017;56,92
entre los 20 y 24 años;Ambos sexos;2016;56,72
entre los 20 y 24 años;Ambos sexos;2015;57,24
entre los 20 y 24 años;Ambos sexos;2014;58,63
entre los 20 y 24 años;Ambos sexos;2013;60,66
entre los 20 y 24 años;Ambos sexos;2012;62,09
entre los 20 y 24 años;Ambos sexos;2011;64,09
entre los 20 y 24 años;Ambos sexos;2010;65,33
entre los 20 y 24 años;Ambos sexos;2009;67,92
entre los 20 y 24 años;Ambos sexos;2008;67,62
entre los 20 y 24 años;Ambos sexos;2007;67,49
entre los 20 y 24 años;Ambos sexos;2006;67,85
entre los 20 y 24 años;Ambos sexos;2005;65,74
entre los 20 y 24 años;Ambos sexos;2004;64,19
entre los 20 y 24 años;Ambos sexos;2003;62,61
entre los 20 y 24 años;Ambos sexos;2002;61,36
entre los 20 y 24 años;Ambos sexos;2001;59,67
entre los 20 y 24 años;Ambos sexos;2000;58,68
entre los 20 y 24 años;Ambos sexos;1999;57,59
entre los 20 y 24 años;Ambos sexos;1998;56,87
entre los 20 y 24 años;Ambos sexos;1997;57,09
entre los 20 y 24 años;Ambos sexos;1996;58,08
entre los 20 y 24 años;Ambos sexos;1995;59,35
entre los 20 y 24 años;Ambos sexos;1994;60,79
entre los 20 y 24 años;Ambos sexos;1993;60,93
entre los 20 y 24 años;Ambos sexos;1992;63,30
entre los 20 y 24 años;Ambos sexos;1991;64,81
entre los 20 y 24 años;Ambos sexos;1990;65,64
entre los 20 y 24 años;Ambos sexos;1989;66,28
entre los 20 y 24 años;Ambos sexos;1988;65,17
entre los 20 y 24 años;Ambos sexos;1987;62,24
entre los 20 y 24 años;Ambos sexos;1986;59,80
entre los 20 y 24 años;Ambos sexos;1985;59,54
entre los 20 y 24 años;Ambos sexos;1984;59,77
entre los 20 y 24 años;Ambos sexos;1983;59,62
entre los 20 y 24 años;Ambos sexos;1982;59,08
entre los 20 y 24 años;Ambos sexos;1981;58,75
entre los 20 y 24 años;Ambos sexos;1980;59,00
entre los 20 y 24 años;Ambos sexos;1979;58,55
entre los 20 y 24 años;Ambos sexos;1978;58,31
entre los 20 y 24 años;Ambos sexos;1977;58,42
entre los 20 y 24 años;Varones;2029;62,85
entre los 20 y 24 años;Varones;2028;62,85
entre los 20 y 24 años;Varones;2027;62,85
entre los 20 y 24 años;Varones;2026;62,85
entre los 20 y 24 años;Varones;2025;62,97
entre los 20 y 24 años;Varones;2024;62,96
entre los 20 y 24 años;Varones;2023;62,76
entre los 20 y 24 años;Varones;2022;62,39
entre los 20 y 24 años;Varones;2021;61,89
entre los 20 y 24 años;Varones;2020;61,27
entre los 20 y 24 años;Varones;2019;60,56
entre los 20 y 24 años;Varones;2018;59,77
entre los 20 y 24 años;Varones;2017;59,01
entre los 20 y 24 años;Varones;2016;58,53
entre los 20 y 24 años;Varones;2015;59,60
entre los 20 y 24 años;Varones;2014;61,11
entre los 20 y 24 años;Varones;2013;62,93
entre los 20 y 24 años;Varones;2012;63,63
entre los 20 y 24 años;Varones;2011;66,20
entre los 20 y 24 años;Varones;2010;68,28
entre los 20 y 24 años;Varones;2009;72,02
entre los 20 y 24 años;Varones;2008;72,16
entre los 20 y 24 años;Varones;2007;72,29
entre los 20 y 24 años;Varones;2006;72,70
entre los 20 y 24 años;Varones;2005;70,92
entre los 20 y 24 años;Varones;2004;69,85
entre los 20 y 24 años;Varones;2003;67,62
entre los 20 y 24 años;Varones;2002;67,01
entre los 20 y 24 años;Varones;2001;64,68
entre los 20 y 24 años;Varones;2000;62,57
entre los 20 y 24 años;Varones;1999;61,67
entre los 20 y 24 años;Varones;1998;60,18
entre los 20 y 24 años;Varones;1997;60,55
entre los 20 y 24 años;Varones;1996;61,57
entre los 20 y 24 años;Varones;1995;62,95
entre los 20 y 24 años;Varones;1994;65,61
entre los 20 y 24 años;Varones;1993;66,27
entre los 20 y 24 años;Varones;1992;68,38
entre los 20 y 24 años;Varones;1991;70,70
entre los 20 y 24 años;Varones;1990;71,36
entre los 20 y 24 años;Varones;1989;71,49
entre los 20 y 24 años;Varones;1988;70,49
entre los 20 y 24 años;Varones;1987;69,13
entre los 20 y 24 años;Varones;1986;66,75
entre los 20 y 24 años;Varones;1985;65,54
entre los 20 y 24 años;Varones;1984;65,04
entre los 20 y 24 años;Varones;1983;64,95
entre los 20 y 24 años;Varones;1982;64,62
entre los 20 y 24 años;Varones;1981;63,52
entre los 20 y 24 años;Varones;1980;63,87
entre los 20 y 24 años;Varones;1979;63,18
entre los 20 y 24 años;Varones;1978;62,91
entre los 20 y 24 años;Varones;1977;63,47
entre los 20 y 24 años;Mujeres;2029;54,81
entre los 20 y 24 años;Mujeres;2028;54,82
entre los 20 y 24 años;Mujeres;2027;54,82
entre los 20 y 24 años;Mujeres;2026;54,82
entre los 20 y 24 años;Mujeres;2025;54,71
entre los 20 y 24 años;Mujeres;2024;54,73
entre los 20 y 24 años;Mujeres;2023;54,55
entre los 20 y 24 años;Mujeres;2022;54,32
entre los 20 y 24 años;Mujeres;2021;54,28
entre los 20 y 24 años;Mujeres;2020;54,18
entre los 20 y 24 años;Mujeres;2019;54,29
entre los 20 y 24 años;Mujeres;2018;54,51
entre los 20 y 24 años;Mujeres;2017;54,76
entre los 20 y 24 años;Mujeres;2016;54,85
entre los 20 y 24 años;Mujeres;2015;54,82
entre los 20 y 24 años;Mujeres;2014;56,08
entre los 20 y 24 años;Mujeres;2013;58,34
entre los 20 y 24 años;Mujeres;2012;60,52
entre los 20 y 24 años;Mujeres;2011;61,93
entre los 20 y 24 años;Mujeres;2010;62,29
entre los 20 y 24 años;Mujeres;2009;63,66
entre los 20 y 24 años;Mujeres;2008;62,90
entre los 20 y 24 años;Mujeres;2007;62,50
entre los 20 y 24 años;Mujeres;2006;62,78
entre los 20 y 24 años;Mujeres;2005;60,32
entre los 20 y 24 años;Mujeres;2004;58,28
entre los 20 y 24 años;Mujeres;2003;57,34
entre los 20 y 24 años;Mujeres;2002;55,44
entre los 20 y 24 años;Mujeres;2001;54,42
entre los 20 y 24 años;Mujeres;2000;54,62
entre los 20 y 24 años;Mujeres;1999;53,34
entre los 20 y 24 años;Mujeres;1998;53,41
entre los 20 y 24 años;Mujeres;1997;53,48
entre los 20 y 24 años;Mujeres;1996;54,44
entre los 20 y 24 años;Mujeres;1995;55,60
entre los 20 y 24 años;Mujeres;1994;55,75
entre los 20 y 24 años;Mujeres;1993;55,36
entre los 20 y 24 años;Mujeres;1992;58,01
entre los 20 y 24 años;Mujeres;1991;58,71
entre los 20 y 24 años;Mujeres;1990;59,74
entre los 20 y 24 años;Mujeres;1989;60,91
entre los 20 y 24 años;Mujeres;1988;59,70
entre los 20 y 24 años;Mujeres;1987;55,14
entre los 20 y 24 años;Mujeres;1986;52,67
entre los 20 y 24 años;Mujeres;1985;53,41
entre los 20 y 24 años;Mujeres;1984;54,41
entre los 20 y 24 años;Mujeres;1983;54,22
entre los 20 y 24 años;Mujeres;1982;53,50
entre los 20 y 24 años;Mujeres;1981;53,93
entre los 20 y 24 años;Mujeres;1980;54,06
entre los 20 y 24 años;Mujeres;1979;53,85
entre los 20 y 24 años;Mujeres;1978;53,63
entre los 20 y 24 años;Mujeres;1977;53,28
entre los 25 y 29 años;Ambos sexos;2029;87,39
entre los 25 y 29 años;Ambos sexos;2028;87,38
entre los 25 y 29 años;Ambos sexos;2027;87,37
entre los 25 y 29 años;Ambos sexos;2026;87,36
entre los 25 y 29 años;Ambos sexos;2025;87,34
entre los 25 y 29 años;Ambos sexos;2024;87,31
entre los 25 y 29 años;Ambos sexos;2023;87,27
entre los 25 y 29 años;Ambos sexos;2022;87,22
entre los 25 y 29 años;Ambos sexos;2021;87,17
entre los 25 y 29 años;Ambos sexos;2020;87,12
entre los 25 y 29 años;Ambos sexos;2019;87,05
entre los 25 y 29 años;Ambos sexos;2018;87,01
entre los 25 y 29 años;Ambos sexos;2017;86,96
entre los 25 y 29 años;Ambos sexos;2016;86,88
entre los 25 y 29 años;Ambos sexos;2015;86,18
entre los 25 y 29 años;Ambos sexos;2014;86,98
entre los 25 y 29 años;Ambos sexos;2013;87,10
entre los 25 y 29 años;Ambos sexos;2012;86,98
entre los 25 y 29 años;Ambos sexos;2011;86,86
entre los 25 y 29 años;Ambos sexos;2010;86,90
entre los 25 y 29 años;Ambos sexos;2009;87,00
entre los 25 y 29 años;Ambos sexos;2008;86,55
entre los 25 y 29 años;Ambos sexos;2007;86,32
entre los 25 y 29 años;Ambos sexos;2006;85,69
entre los 25 y 29 años;Ambos sexos;2005;85,54
entre los 25 y 29 años;Ambos sexos;2004;85,31
entre los 25 y 29 años;Ambos sexos;2003;83,97
entre los 25 y 29 años;Ambos sexos;2002;82,48
entre los 25 y 29 años;Ambos sexos;2001;80,36
entre los 25 y 29 años;Ambos sexos;2000;80,14
entre los 25 y 29 años;Ambos sexos;1999;79,17
entre los 25 y 29 años;Ambos sexos;1998;78,42
entre los 25 y 29 años;Ambos sexos;1997;78,14
entre los 25 y 29 años;Ambos sexos;1996;77,24
entre los 25 y 29 años;Ambos sexos;1995;76,83
entre los 25 y 29 años;Ambos sexos;1994;76,67
entre los 25 y 29 años;Ambos sexos;1993;75,98
entre los 25 y 29 años;Ambos sexos;1992;76,41
entre los 25 y 29 años;Ambos sexos;1991;76,93
entre los 25 y 29 años;Ambos sexos;1990;76,29
entre los 25 y 29 años;Ambos sexos;1989;75,51
entre los 25 y 29 años;Ambos sexos;1988;75,40
entre los 25 y 29 años;Ambos sexos;1987;73,35
entre los 25 y 29 años;Ambos sexos;1986;71,79
entre los 25 y 29 años;Ambos sexos;1985;71,42
entre los 25 y 29 años;Ambos sexos;1984;70,79
entre los 25 y 29 años;Ambos sexos;1983;69,69
entre los 25 y 29 años;Ambos sexos;1982;68,27
entre los 25 y 29 años;Ambos sexos;1981;66,97
entre los 25 y 29 años;Ambos sexos;1980;67,02
entre los 25 y 29 años;Ambos sexos;1979;65,54
entre los 25 y 29 años;Ambos sexos;1978;65,69
entre los 25 y 29 años;Ambos sexos;1977;65,14
entre los 25 y 29 años;Varones;2029;87,21
entre los 25 y 29 años;Varones;2028;87,21
entre los 25 y 29 años;Varones;2027;87,20
entre los 25 y 29 años;Varones;2026;87,19
entre los 25 y 29 años;Varones;2025;87,21
entre los 25 y 29 años;Varones;2024;87,23
entre los 25 y 29 años;Varones;2023;87,25
entre los 25 y 29 años;Varones;2022;87,27
